Title,Year,Source title,Author Keywords,Index Keywords,Affiliations
comparison of midterm outcomes between biportal endoscopic transforaminal lumbar interbody fusion and oblique lumbar interbody fusion with lateral vertebral body screw fixation for single level spondylolisthesis,2025,BMC Musculoskeletal Disorders,Biportal endoscopic lumbar interbody fusion; Indirect decompression; Oblique lumbar interbody fusion; Spondylolisthesis,polyetheretherketone; adult; Article; backache; biportal endoscopic transforaminal lumbar interbody fusion; bleeding; body mass; clinical article; clinical outcome; demographics; diabetes mellitus; discectomy; female; fluoroscopy; hospitalization; human; implantation; intraoperative monitoring; laminotomy; lateral vertebral body screw fixation; male; minimally invasive surgery; nuclear magnetic resonance imaging; oblique lateral interbody fusion; Oswestry Disability Index; radiographic parameter; retrospective study; smoking; spondylolisthesis; stenosis; visual analog scale; X ray; adverse device effect; aged; article; complication; device comparison; etiology; lumbar interbody fusion; middle aged; posterior lumbar interbody fusion; surgery; vertebra body,"Department of Orthopaedic Surgery, Chang Gung University College of Medicine, Taoyuan, Taiwan; Department of Biomedical Engineering and Environmental Sciences, National Tsing Hua University, Hsinchu, Taiwan; Department of Orthopaedic Surgery, Taoyuan General Hospital, Taoyuan, Taiwan, Taiwan"
comparison of oblique lumbar interbody fusion with pedicle screw fixation versus stress endplate augmentation and anterolateral screw fixation for degenerative lumbar spinal stenosis in osteoporotic patients,2025,European Spine Journal,Anterolateral screw fixation; Degenerative lumbar spinal stenosis; Oblique lumbar interbody fusion; Osteoporosis; Pedicle screw fixation; Stress endplate augmentation,aged; comparative study; complication; devices; diagnostic imaging; female; human; intervertebral disk degeneration; lumbar vertebra; male; middle aged; osteoporosis; pedicle screw; procedures; retrospective study; spine fusion; surgery; treatment outcome; vertebral canal stenosis; Aged; Female; Humans; Intervertebral Disc Degeneration; Lumbar Vertebrae; Male; Middle Aged; Osteoporosis; Pedicle Screws; Retrospective Studies; Spinal Fusion; Spinal Stenosis; Treatment Outcome,"Department of Spine Surgery, People's Hospital of Guangxi Zhuang Autonomous Region, Nanjing, Jiangsu, China; Department of Spine Surgery, The First People’s Hospital of Nanning, Guangxi, China; Guangxi Medical University, Nanning, Guangxi, China"
biomechanical evaluation of various fixation strategies in oblique lumbar interbody fusion: a finite element analysis,2025,BMC Musculoskeletal Disorders,Finite element model; Maximum stress; Oblique lumbar interbody fusion; Range of motion,"adult; Article; biomechanics; computer assisted tomography; cortical bone; finite element analysis; human; normal human; oblique lateral interbody fusion; physiological stress; range of motion; devices; diagnostic imaging; lumbar vertebra; pedicle screw; physiology; procedures; spine fusion; surgery; Biomechanical Phenomena; Finite Element Analysis; Humans; Lumbar Vertebrae; Pedicle Screws; Range of Motion, Articular; Spinal Fusion","Department of Orthopaedics, Army Medical University, Chongqing, China; Department of Orthopaedics, Army Medical University, Chongqing, China"
oblique lumbar interbody fusion for the treatment of severe central lumbar spinal stenosis: a retrospective study of 48 patients,2025,BMC Musculoskeletal Disorders,Lumbar spinal stenosis; Oblique lumbar interbody fusion; Pedicle screws fixation; Severe,"adult; aged; allograft; Article; central lumbar spinal stenosis; clinical outcome; computer assisted tomography; cross-sectional area; decompression surgery; discectomy; dural sac; female; fluoroscopy; follow up; human; intermittent claudication; intraoperative period; laminectomy; leg pain; lordosis; low back pain; lumbar spinal stenosis; male; mean disc height; middle aged; nervous system parameters; nuclear magnetic resonance imaging; oblique lateral interbody fusion; one-stage revision; operation duration; operative blood loss; osteopenia; osteoporosis; Oswestry Disability Index; percutaneous pedicle screw fixation; perioperative complication; preoperative period; radicular pain; reoperation; retrospective study; scoliosis; segmental lordosis angle; spondylolisthesis; supine position; surgical fixation; two-stage revision; visual analog scale; adverse event; complication; devices; diagnostic imaging; etiology; lumbar vertebra; pedicle screw; procedures; severity of illness index; spine fusion; surgery; treatment outcome; vertebral canal stenosis; Aged; Decompression, Surgical; Female; Humans; Low Back Pain; Lumbar Vertebrae; Magnetic Resonance Imaging; Male; Middle Aged; Pedicle Screws; Retrospective Studies; Severity of Illness Index; Spinal Fusion; Spinal Stenosis; Treatment Outcome","Department of Spine Surgery, Hebei Medical University, Shijiazhuang, Hebei, China; Department of Spine Surgery, Third Hospital of Shijiazhuang, Shijiazhuang, Hebei, China"
biomechanical modelling of indirect decompression in oblique lumbar intervertebral fusions – a finite element study,2024,Clinical Biomechanics,Biomechanical study; Finite element modelling; Indirect decompression; Lumbar spine surgery; Oblique lumbar interbody fusion (OLIF),"Fracture fixation; Neurophysiology; Screws; Transplantation (surgical); Biomechanical studies; Element models; Finite element modeling; Indirect decompression; Lumbar interbody fusion; Lumbar spine surgery; Lumbar spines; Oblique lumbar interbody fusion; Spine surgery; Stress and displacements; Bone; polyetheretherketone; adult; annulus fibrosus; anterior longitudinal ligament; Article; biomechanics; bone density; capsular ligament; collagen fiber; computer assisted tomography; cortical bone; disease model; female; finite element analysis; geometry; human; human tissue; image reconstruction; interspinous ligament; intertransverse ligament; joint ligament; ligamentum flavum; lordosis; male; nucleus pulposus; oblique lateral interbody fusion; obturator foramen; osteoporosis; pathophysiology; posterior longitudinal ligament; simulation; spinal cord decompression; spondylolisthesis; supraspinous ligament; trabecular bone; vertebra body; vertebral canal; viscosity; Young modulus; biological model; computer simulation; decompression surgery; lumbar vertebra; mechanical stress; procedures; spine fusion; surgery; Biomechanical Phenomena; Computer Simulation; Decompression, Surgical; Finite Element Analysis; Humans; Lumbar Vertebrae; Male; Models, Biological; Spinal Fusion; Spondylolisthesis; Stress, Mechanical","Institute of Biomedical Engineering, Polytechnique Montréal, Montreal, QC, Canada; CHU Sainte-Justine - Le Centre Hospitalier Universitaire Mère-Enfant, Montreal, QC, Canada; Department of Surgery, Université d'Ottawa, Faculté de Médecine, Ottawa, ON, Canada; Laboratoire de Biomécanique Appliquée, Marseille, Provence-Alpes-Cote d'Azur, France; Centre Hospitalier de L'Université de Montréal, Montreal, QC, Canada; Department of Surgery, University of Montreal, Montreal, QC, Canada"
oblique lumbar interbody fusion combined with anterolateral screw fixation and stress endplate augmentation for treating degenerative lumbar spondylolisthesis with osteoporosis,2024,European Spine Journal,Anterolateral screw fixation; Cage subsidence; Degenerative lumbar spondylolisthesis; Oblique lumbar interbody fusion; Osteoporosis; Stress endplate augmentation,aged; anterolateral screw fixation; Article; body mass; bone density; case control study; clinical article; clinical outcome; controlled study; degenerative lumbar spondylolisthesis; female; follow up; human; intermethod comparison; leg pain; lordosis; low back pain; male; nerve ending; oblique lateral interbody fusion; osteoporosis; Oswestry Disability Index; posterior lumbar interbody fusion; retrospective study; spondylolisthesis; stress endplate augmentation; surgical technique; visual analog scale; bone screw; complication; diagnostic imaging; lumbar vertebra; middle aged; procedures; spine fusion; surgery; treatment outcome; Aged; Bone Screws; Female; Humans; Lumbar Vertebrae; Male; Middle Aged; Osteoporosis; Spinal Fusion; Spondylolisthesis; Treatment Outcome,"Department of Orthopedic Surgery and Orthopedic Research Institute, West China School of Medicine/West China Hospital of Sichuan University, Chengdu, Sichuan, China; Department of Spine Surgery, People's Hospital of Guangxi Zhuang Autonomous Region, Nanjing, Jiangsu, China"
comparison of the medium-term outcomes of anterior lumbar discectomy and fusion with minimally invasive transforaminal lumbar interbody fusion: a retrospective cohort study,2024,Orthopaedic Surgery,Anterior lumbar discectomy and fusion; LDDs; Microscope; Minimally invasive transforaminal lumbar interbody fusion,adjacent segment disease; adult; age; anterior lumbar discectomy; Article; backache; body mass; clinical article; clinical effectiveness; clinical outcome; cohort analysis; computer assisted tomography; decompression surgery; demographics; disc height; facetectomy; female; fluoroscopy; gender; genitofemoral nerve injury; human; intermethod comparison; leg pain; low back pain; lumbar discectomy; lumbar lordosis angle; lumbar plexus injury; male; minimally invasive surgery; nerve injury; neurophysiological monitoring; nuclear magnetic resonance imaging; nucleus pulposus; obese patient; obesity; oblique external abdominal muscle; operation duration; operative blood loss; osteosynthesis; Oswestry Disability Index; posterior lumbar interbody fusion; postoperative complication; radiculopathy; radiological parameters; remission; retroperitoneal fat; retrospective study; segmental disk angle; sex ratio; Short Form 36; spine instability; spondylolisthesis; stenosis; temporary psoas injury; visual analog scale; aged; comparative study; disability assessment; discectomy; intervertebral disk degeneration; intervertebral disk hernia; lumbar vertebra; middle aged; pain measurement; procedures; spine fusion; Adult; Aged; Disability Evaluation; Diskectomy; Female; Humans; Intervertebral Disc Degeneration; Intervertebral Disc Displacement; Lumbar Vertebrae; Male; Middle Aged; Minimally Invasive Surgical Procedures; Pain Measurement; Retrospective Studies; Spinal Fusion,"Department of Orthopaedics, Fujian Medical University, Fuzhou, Fujian, China; Department of Orthopaedics, Fujian Provincial Clinical Medical Research Center for Spinal Nerve and Joint Diseases, Fuzhou, China"
risk factors for nonunion in oblique lateral interbody fusion,2024,Journal of Orthopaedic Science,L5-S1; Laminectomy; Nonunion; OLIF; Risk factor,steroid; age; aged; alcohol consumption; Article; body mass; bone density; bone graft; bone matrix; comparative study; computer assisted tomography; conservative treatment; current smoker; degenerative spondylolisthesis; demographics; diabetes mellitus; ex-smoker; female; follow up; fracture nonunion; human; intervertebral disc angle; kyphosis; laminectomy; logistic regression analysis; lumbar disk degeneration; lumbar lordosis angle; major clinical study; male; musculoskeletal system parameters; non-smoker; nuclear magnetic resonance imaging; oblique lateral interbody fusion; operation duration; operative blood loss; pelvic incidence; pelvic tilt; radiological parameters; recurrence risk; retrospective study; rheumatoid arthritis; risk factor; sacral slope; sagittal parameter; sagittal vertical axis; scoliosis; sex; smoking cessation; spine fusion; spine malformation; spine radiography; spondylolisthesis; spondylolytic spondylolisthesis; vertebral canal stenosis; diagnostic imaging; intervertebral disk; lumbar vertebra; procedures; radiography; surgery; Humans; Intervertebral Disc; Lumbar Vertebrae; Radiography; Retrospective Studies; Risk Factors; Spinal Fusion,"Department of Orthopaedic Surgery, Ajou University School of Medicine, Suwon, Gyeonggi-do, South Korea"
anterior column realignment via a minimally invasive hybrid approach in adult spinal deformity surgery: a short-term retrospective study,2023,BMC Musculoskeletal Disorders,Anterior longitudinal ligament; Lumbar lordosis; Musculoskeletal diseases; Spinal fusion; Surgical procedures,abdominal pain; adult; aged; anterior column realignment; Article; bloating; bone radiography; clinical outcome; computer assisted tomography; decompression surgery; female; follow up; human; Japanese Orthopedic Association score; lumbar Cobb angle; lumbar lordosis angle; major clinical study; male; middle aged; muscle weakness; nuclear magnetic resonance imaging; operation duration; operative blood loss; paresthesia; retrospective study; sagittal vertical axis; spine malformation; spine surgery; surgical technique; visual analog scale; diagnostic imaging; lordosis; lumbar vertebra; minimally invasive surgery; procedures; spine fusion; treatment outcome; Adult; Aged; Humans; Lordosis; Lumbar Vertebrae; Minimally Invasive Surgical Procedures; Retrospective Studies; Spinal Fusion; Treatment Outcome,"Dalian Medical University, Dalian, Liaoning, China; Sanbo Brain Hospital Capital Medical University, Beijing, China"
oblique lateral internal fusion combined with percutaneous pedicle screw fixation in severe lumbar spinal stenosis: clinical and radiographic outcome,2023,Journal of Orthopaedic Surgery and Research,Indirect compression; OLIF; Severe lumbar stenosis,"diagnostic imaging; human; lumbar vertebra; procedures; retrospective study; spine fusion; stenosis, occlusion and obstruction; treatment outcome; vertebral canal stenosis; Constriction, Pathologic; Humans; Lumbar Vertebrae; Pedicle Screws; Retrospective Studies; Spinal Fusion; Spinal Stenosis; Treatment Outcome","Department of Spine Surgery, Wannan Medical College, Wuhu, Anhui, China; Wannan Medical College, Wuhu, Anhui, China; Wannan Medical College, Wuhu, Anhui, China"
