Title,Year,Source title,Author Keywords,Index Keywords,Affiliations
endplate morphology affects the risk of complications by changing the grafted bony occupancy rate in olif patients,2025,BMC Musculoskeletal Disorders,Cage subsidence; Endplate morphology; Grafted bony occupancy rate; Non-union; Oblique lumbar interbody fusion,adult; Article; body mass; bone graft; bone quality; clinical article; computer assisted tomography; demographics; female; follow up; human; incidence; lumbar disk hernia; male; middle aged; morphology; nerve ending; neuromonitoring; oblique lateral interbody fusion; psoas muscle; risk factor; spondylolisthesis; vertebral canal stenosis; aged; article; cage; complication; congenital disorder; diagnosis; etiology; impaired fracture healing,"Frontiers Science Center for Disease-related Molecular Network, West China School of Medicine/West China Hospital of Sichuan University, Chengdu, Sichuan, China; Department of Orthopaedic Surgery, West China School of Medicine/West China Hospital of Sichuan University, Chengdu, Sichuan, China; Department of Orthopedic Surgery and Orthopedic Research Institute, West China School of Medicine/West China Hospital of Sichuan University, Chengdu, Sichuan, China"
enhancing segmentation accuracy of the common iliac vein in olif51 surgery in intraoperative endoscopic video through gamma correction: a deep learning approach,2025,International Journal of Computer Assisted Radiology and Surgery,Deep learning; Gamma correction; Oblique lateral lumbar interbody fusion (OLIF) 51; Preprocessing; Segmentation; Vein segmentation,"Article; blood vessel injury; controlled study; convolutional neural network; deep learning; human; iliac vein; lumbar interbody fusion; lumbosacral spine; luminance; minimally invasive surgery; oblique lateral interbody fusion; retrospective study; spine disease; spondylolisthesis; videorecording; X ray analysis; artificial neural network; diagnostic imaging; endoscopy; lumbar vertebra; procedures; surgery; Deep Learning; Endoscopy; Humans; Iliac Vein; Lumbar Vertebrae; Neural Networks, Computer; Video Recording","Department of Medical System Engineering, Chiba University, Chiba, Chiba, Japan; Faculty of Medicine, Kashihara, Nara, Japan; Department of Orthopaedic Surgery, Graduate School of Medicine, Chiba, Chiba, Japan; Department of Orthopaedic Surgery, National Hospital Organization Shimoshizu National Hospital, Yotsukaido, Chiba, Japan; Chiba University, Chiba, Chiba, Japan"
oblique lateral interbody fusion using angle-adjustable cage,2025,European Spine Journal,Angle-adjustable cage; Cage obliquity; Iliac crest height; Oblique lateral interbody fusion; Radiological outcome,aged; Article; bone graft; controlled study; degenerative disease; female; follow up; human; major clinical study; male; oblique lateral interbody fusion; retrospective study; spine disease; spine radiography; surgical technique; devices; diagnostic imaging; internal fixator; intervertebral disk degeneration; lumbar vertebra; middle aged; procedures; spine fusion; surgery; treatment outcome; Aged; Female; Humans; Internal Fixators; Intervertebral Disc Degeneration; Lumbar Vertebrae; Male; Middle Aged; Retrospective Studies; Spinal Fusion; Treatment Outcome,"Department of Orthopaedic Surgery, Ajou University School of Medicine, Suwon, Gyeonggi-do, South Korea"
patient selection and workup,2025,Seminars in Spine Surgery,,anatomical variation; anterior to psoas approach; computer assisted tomography; dual energy X ray absorptiometry; human; laboratory test; medical history; nuclear magnetic resonance imaging; oblique lateral interbody fusion; orthopedic surgeon; patient selection; physical examination; preoperative evaluation; Review; surgical anatomy; surgical approach; X ray,"Royal National Orthopaedic Hospital NHS Trust, Stanmore, Middlesex, United Kingdom; Royal North Shore Hospital, Sydney, NSW, Australia"
oblique lateral interbody fusion: technique and pearls,2025,Seminars in Spine Surgery,,adenosine triphosphate; antibiotic agent; anesthesia induction; anterior lumbar interbody fusion; anterior to the psoas oblique lateral interbody fusion; comparative study; discectomy; dissection; electrocautery; endotracheal anesthesia; fracture fixation; human; incision; lateral lumbar interbody fusion; lumbar interbody fusion; oblique lateral interbody fusion; patient positioning; posterior lumbar interbody fusion; retroperitoneal dissection; Review; surgical approach; surgical technique; treatment contraindication; treatment indication; wound closure,"Johns Hopkins University School of Medicine, Baltimore, MD, United States"
an in vitro biomechanical evaluation of integrated lateral plate combined with oblique lateral interbody fusion in different bone conditions,2024,Scientific Reports,Biomechanics; Fixation; Lateral plate; Osteoporosis,"animal; biomechanics; bone plate; bovine; lumbar vertebra; metabolic bone disease; osteoporosis; pedicle screw; procedures; spine fusion; surgery; Animals; Biomechanical Phenomena; Bone Diseases, Metabolic; Bone Plates; Cattle; Lumbar Vertebrae; Osteoporosis; Pedicle Screws; Spinal Fusion","Department of Orthopaedics, Zhengzhou University, Zhengzhou, Henan, China; Department of Orthopaedics, Ningxia Medical University, Yinchuan, Ningxia, China"
finite element analysis of biomechanical investigation on diverse internal fixation techniques in oblique lumbar interbody fusion,2024,BMC Musculoskeletal Disorders,Adjacent segment degeneration; Biomechanical study; Finite element analysis; Lumbar spine; Oblique lumbar interbody fusion,"adjacent segment disease; adult; ankle sprain; annulus fibrosus; Article; biomechanics; cervical spine; cognitive behavioral therapy; computer assisted tomography; cortical bone; digital imaging and communications in medicine; electromyography; exercise; finite element analysis; human; human experiment; intervertebral disk degeneration; kyphosis; lordosis; lumbar spine; male; normal human; nuclear magnetic resonance imaging; nucleus pulposus; oblique lateral interbody fusion; operation duration; osteosynthesis; physiological stress; postoperative pain; range of motion; rotation; scoliosis; simulation; spine fusion; spondylolisthesis; trabecular bone; devices; lumbar vertebra; mechanical stress; pedicle screw; physiology; procedures; surgery; three-dimensional imaging; Biomechanical Phenomena; Finite Element Analysis; Humans; Imaging, Three-Dimensional; Lumbar Vertebrae; Male; Pedicle Screws; Range of Motion, Articular; Spinal Fusion; Stress, Mechanical","Department of Orthopaedics, Haining People's Hospital, Jiaxing, Zhejiang, China; Department of Orthopaedics, Jiaxing University, Jiaxing, Zhejiang, China; Department of Infectious Diseases, Jiaxing University, Jiaxing, Zhejiang, China"
single-position oblique lumbar interbody fusion with navigation: improved efficiency and screw accuracy compared to dual-position with fluoroscopy,2024,Scientific Reports,,,"Department of Neurosurgery, Seoul National University Hospital, Seoul, South Korea; Seoul National University College of Medicine, Seoul, South Korea; Department of Neurosurgery, Hallym University, College of Medicine, Chuncheon, Gangwon-do, South Korea; Department of Neurosurgery, Armed Forces Yangju Hospital, Yangju, South Korea; Department of Neurosurgery, Seoul National University College of Medicine, Seoul, South Korea; Neuroscience Research Institute, Seoul National University College of Medicine, Seoul, South Korea; Department of Medical Device Development, Seoul National University College of Medicine, Seoul, South Korea"
single position l5-s1 lateral alif with simultaneous robotic posterior fixation is safe and improves regional alignment and lordosis distribution index,2024,European Spine Journal,Anterior lumbar interbody fusion (ALIF); L5-S1; Lateral surgery; Lordosis distribution index; Mazor X Stealth Edition; Minimally invasive surgery; Oblique lumbar interbody fusion (OLIF); Single position surgery; Spinal robotics,methylprednisolone; abdominal wall hernia; adult; aged; anterior lumbar interbody fusion; Article; backache; blood vessel injury; clinical article; cohort analysis; controlled study; delirium; diagnostic test accuracy study; dysesthesia; female; human; implant complication; intervertebral disk degeneration; length of stay; lordosis; male; middle aged; minimally invasive surgery; neurogenic claudication; oblique lateral interbody fusion; operation duration; pelvic incidence; pelvic tilt; postoperative delirium; radiculopathy; radiographic parameter; reoperation; retrospective study; robot assisted surgery; sagittal vertical axis; ureter injury; urine retention; wound infection; devices; diagnostic imaging; lumbar vertebra; pedicle screw; procedures; sacrum; spine fusion; surgery; treatment outcome; Adult; Aged; Female; Humans; Lordosis; Lumbar Vertebrae; Male; Middle Aged; Pedicle Screws; Retrospective Studies; Robotic Surgical Procedures; Sacrum; Spinal Fusion; Treatment Outcome,"Department of Neurosciences, La Jolla, CA, United States; Department of Neurosurgery, UC San Diego Health, San Diego, CA, United States"
biomechanical comparison of unilateral and bilateral pedicle screw fixation after multilevel lumbar lateral interbody fusion,2024,Global Spine Journal,bilateral; biomechanics; cadaveric; DLIF; lateral lumbar interbody fusion; LLIF; multilevel; multiple level; OLIF; pedicle screw; posterior segmental instrumentation; unilateral; XLIF,polyetheretherketone; aged; Article; biomechanics; body mass; cadaver; comparative effectiveness; computer assisted tomography; controlled study; female; fused deposition modeling; human; male; oblique lateral interbody fusion; range of motion; spine stabilization,"NorthShore University HealthSystem, Evanston, IL, United States; Department of Orthopaedics, University of Illinois at Chicago, Chicago, IL, United States"
how to choose surgical corridor in left oblique approach lumbar interbody fusion at the l5-s1 segment: a prospective cohort study,2024,World Neurosurgery,Anterior to psoas; L5-S1; Oblique lateral interbody fusion; Oblique-anterior lumbar interbody fusion; Surgical corridor,adult; aged; Article; bleeding; clinical article; clinical feature; clinical outcome; cohort analysis; controlled study; demographics; female; hospitalization; human; iliac vein; lumbar interbody fusion; lumbar lordosis angle; male; middle aged; nuclear magnetic resonance imaging; operation duration; Oswestry Disability Index; postoperative care; prospective study; surgical approach; surgical technique; visual analog scale; diagnostic imaging; lumbar vertebra; procedures; retrospective study; spine fusion; surgery; adenosine triphosphate; Adenosine Triphosphate; Humans; Lumbar Vertebrae; Magnetic Resonance Imaging; Male; Prospective Studies; Retrospective Studies; Spinal Fusion,"Department of Spine Surgery, Third Hospital of Shijiazhuang, Shijiazhuang, Hebei, China"
comparative analysis of vascular structures in olif51 and the lateral corridor approach under supine mri and intraoperative enhanced ct in the lateral decubitus position,2024,Medicina (Lithuania),anterior lumbar fusion; lateral corridor approach; OLIF51; vascular anatomy,"aged; human; intervertebral disk; lumbar vertebra; middle aged; nuclear magnetic resonance imaging; procedures; spine fusion; surgery; very elderly; x-ray computed tomography; Aged; Aged, 80 and over; Humans; Intervertebral Disc; Lumbar Vertebrae; Magnetic Resonance Imaging; Middle Aged; Spinal Fusion; Tomography, X-Ray Computed","Department of Orthopaedic Surgery, Kansai Medical University Medical Center, Moriguchi, Osaka, Japan; Department of Orthopaedic Surgery, Graduate School of Medicine, Sapporo, Hokkaido, Japan; Department of Orthopaedic Surgery, Kansai Medical University, Hirakata, Osaka, Japan"
clinical and radiologic analysis of minimally invasive anterior–posterior combined surgery for adult spinal deformity: comparison of oblique lateral interbody fusion at l5/s1 (olif51) versus transforaminal interbody fusion,2024,Medicina (Lithuania),adult spinal deformity; minimally invasive surgery; oblique lateral interbody fusion; OLIF51; transforaminal interbody fusion,adult; animal; human; lumbar vertebra; minimally invasive surgery; neurosurgery; quality of life; spine fusion; surgery; surgical margin; Adult; Animals; Humans; Lumbar Vertebrae; Margins of Excision; Minimally Invasive Surgical Procedures; Neurosurgical Procedures; Quality of Life; Spinal Fusion,"Department of Orthopaedic Surgery, Kansai Medical University Medical Center, Moriguchi, Osaka, Japan; Department of Orthopaedic Surgery, Kansai Medical University, Hirakata, Osaka, Japan"
effect of spinal orthosis on clinical outcomes of patients after oblique lumbar interbody fusion: a randomized controlled trial study protocol,2023,Trials,Clinical efficacy; Lumbar minimally invasive surgery; Oblique lumbar interbody fusion; OLIF; Spinal orthosis,adjuvant therapy; adult; aged; Article; clinical effectiveness; clinical outcome; controlled study; correlational study; evaluation study; health care planning; human; major clinical study; oblique lumbar interbody fusion; Oswestry Disability Index; postoperative period; randomized controlled trial; spine fusion; treatment outcome; visual analog scale; joint; low back pain; lumbar vertebra; patient satisfaction; procedures; randomized controlled trial (topic); retrospective study; surgery; Humans; Joints; Low Back Pain; Lumbar Vertebrae; Patient Satisfaction; Randomized Controlled Trials as Topic; Retrospective Studies; Spinal Fusion; Treatment Outcome,"Xinjiang Medical University, Urumqi, Xinjiang, China"
percutaneous transforaminal endoscopic surgery (ptes) and mini-incision l5/s1 olif with a self-lock cage for the surgical treatment of l5 spondylolisthesis,2023,Journal of Orthopaedic Surgery and Research,L5 spondylolisthesis; Mini-incision; Minimally invasive surgery; Oblique lumbar interbody fusion; Percutaneous transforaminal endoscopic surgery,"abdominal wall musculature; endoscopy; general anesthesia; human; lordosis; spondylolisthesis; surgical wound; Abdominal Muscles; Anesthesia, General; Endoscopy; Humans; Lordosis; Spondylolisthesis; Surgical Wound","Department of Orthopaedic Surgery, Zhongshan Hospital, Shanghai, China; Shanghai Southwest Spine Surgery Center, Shanghai, Shanghai, China"
cage obliquity and radiological outcomes in oblique lateral interbody fusion,2023,Spine,cage obliquity; computed tomography; oblique lateral interbody fusion; postoperative complication; radiological outcome,"adult; aged; Article; cage obliquity; clinical examination; clinical outcome; computer assisted tomography; controlled study; demographics; female; follow up; foraminal height; human; intervertebral disk angle; major clinical study; male; measurement; middle aged; oblique lateral interbody fusion; orthogonal orientation; orthogonal rotation; pain; physical parameters; postoperative period; radiological parameters; retrospective study; spine fusion; diagnostic imaging; intervertebral disk; lumbar vertebra; postoperative complication; procedures; radiography; surgery; x-ray computed tomography; Humans; Intervertebral Disc; Lumbar Vertebrae; Postoperative Complications; Radiography; Retrospective Studies; Spinal Fusion; Tomography, X-Ray Computed","Department of Orthopaedic Surgery, Ajou University School of Medicine, Suwon, Gyeonggi-do, South Korea"
optimizing spinal fusion cage design to improve bone substitute filling on varying disc heights: a 3d printing study,2023,Bioengineering,3D printing technology; bone graft substitute; cage; oblique lumbar interbody fusion,,"Department of Orthopaedics, Veterans General Hospital-Taichung Taiwan, Taichung, Taiwan; Department of Physical Therapy, Hungkuang University, Taichung, Taiwan; Department of Post-Baccalaureate Medicine, National Chung Hsing University, Taichung, Taiwan; Department of Rehabilitation Science, Jen-Teh Junior College of Medicine, Nursing and Management, Miao-li, Taiwan; Department of Medical Research, Veterans General Hospital-Taichung Taiwan, Taichung, Taiwan; Department of Biomedical Engineering, Hungkuang University, Taichung, Taiwan; Department of Chemical and Materials Engineering, Tunghai University, Taichung, Taiwan"
