Title,Year,Source title,Author Keywords,Index Keywords,Affiliations
comparison of midterm outcomes between biportal endoscopic transforaminal lumbar interbody fusion and oblique lumbar interbody fusion with lateral vertebral body screw fixation for single level spondylolisthesis,2025,BMC Musculoskeletal Disorders,Biportal endoscopic lumbar interbody fusion; Indirect decompression; Oblique lumbar interbody fusion; Spondylolisthesis,polyetheretherketone; adult; Article; backache; biportal endoscopic transforaminal lumbar interbody fusion; bleeding; body mass; clinical article; clinical outcome; demographics; diabetes mellitus; discectomy; female; fluoroscopy; hospitalization; human; implantation; intraoperative monitoring; laminotomy; lateral vertebral body screw fixation; male; minimally invasive surgery; nuclear magnetic resonance imaging; oblique lateral interbody fusion; Oswestry Disability Index; radiographic parameter; retrospective study; smoking; spondylolisthesis; stenosis; visual analog scale; X ray; adverse device effect; aged; article; complication; device comparison; etiology; lumbar interbody fusion; middle aged; posterior lumbar interbody fusion; surgery; vertebra body,"Department of Orthopaedic Surgery, Chang Gung University College of Medicine, Taoyuan, Taiwan; Department of Biomedical Engineering and Environmental Sciences, National Tsing Hua University, Hsinchu, Taiwan; Department of Orthopaedic Surgery, Taoyuan General Hospital, Taoyuan, Taiwan, Taiwan"
changing rod stiffness to moderate stress of adjacent disc in oblique lumbar interbody fusion - a finite element analysis,2025,BMC Musculoskeletal Disorders,Adjacent segment; Finite element analysis; Lumbar spine; OLIF,"biomaterial; nitinol; polycarbonate urethane; polyetheretherketone; titanium; unclassified drug; urethan; alloy; nickel; polycarboxylate cement; titanium nickelide; adjacent disc; Article; biomechanics; changing rod stiffness; finite element analysis; human; intervertebral disk; lumbar interbody fusion; oblique lateral interbody fusion; rigidity; spine; adverse event; devices; lumbar vertebra; mechanical stress; pathophysiology; procedures; range of motion; spine fusion; surgery; Alloys; Biocompatible Materials; Biomechanical Phenomena; Finite Element Analysis; Humans; Intervertebral Disc; Lumbar Vertebrae; Nickel; Polycarboxylate Cement; Range of Motion, Articular; Spinal Fusion; Stress, Mechanical; Titanium","National Yang-Ming University Taiwan, Taipei, Taiwan; Department of Orthopaedics and Traumatology, Taipei Veterans General Hospital, Taipei, Taiwan; Department of Biomedical Engineering, I-Shou University, Kaohsiung, Taiwan; Department of Physical Therapy and Assistive Technology, National Yang Ming Chiao Tung University, Hsinchu, Taiwan; Department of Orthopaedic Surgery, Taipei City Hospital Taiwan, Taipei, Taiwan"
prediction of angle loss after l4/5 oblique lumbar interbody fusion: development of a risk stratification model,2025,Journal of Korean Neurosurgical Society,Lordosis; Lumbar region; Minimally invasive surgical procedures; Oblique lumbar interbody fusion; Risk assessment; Spinal fusion,romosozumab; anterior posterior axis; Article; female; human; incidence; lordosis; major clinical study; male; oblique lateral interbody fusion; osteopenia; osteoporosis; postoperative period; prediction; radiographic parameter; retrospective study; spine fusion; vertebral canal stenosis,"Department of Neurosurgery, Pusan National University Yangsan Hospital, Yangsan, Gyeongsangnam-do, South Korea; Department of Neurosurgery, Medical School of Pusan National University, Yangsan, Gyeongsangnam-do, South Korea"
predictive value of mri- based vertebral bone and endplate bone quality assessments for screw loosening and cage subsidence in degenerative thoracolumbar spine surgery: a systematic review and meta- analysis,2025,International Journal of Spine Surgery,cage subsidence; endplate bone quality; postoperative complication; screw loosening; thoracolumbar spine; vertebral bone quality,polyetheretherketone; adult; Article; bone density; bone quality; cage subsidence; China; clinical outcome; Cochrane Library; computer assisted tomography; data extraction; diagnostic accuracy; diagnostic value; dual energy X ray absorptiometry; Egypt; eligibility criteria; endplate bone quality score; female; human; incidence; information retrieval; intervertebral disk degeneration; lumbar interbody fusion; male; Medline; meta analysis; nuclear magnetic resonance imaging; oblique lateral interbody fusion; patient selection; posterior lumbar interbody fusion; postoperative complication; predictive value; preoperative evaluation; Quality Assessment of Diagnostic Accuracy Studies; quality control; receiver operating characteristic; retrospective study; risk assessment; risk factor; Scopus; scoring system; screw loosening; sensitivity analysis; standalone lateral lumbar interbody fusion; systematic review; T1 weighted imaging; Taiwan; thoracolumbar degeneration; United States; vertebral bone quality score; Web of Science; Youden index,"Department of Neurosurgery, King Faisal University, Al-Ahsa, Ash Sharqiyah, Saudi Arabia; College of Medicine, Imam Mohammad Ibn Saud Islamic University, Riyadh, Riyad, Saudi Arabia; College of Medicine, Taibah University, Medina, Al Madinah al Munawwarah, Saudi Arabia; Department of Neuroscience, King Faisal Specialist Hospital & Research Centre, Riyadh, Riyad, Saudi Arabia; Department of Neurosurgery, Hospital Lusíadas Porto, Porto, Porto, Portugal; Department of Neurosurgery, Banner - University Medical Center Tucson, Tucson, AZ, United States; Department of Neurosurgery, Imam Abdulrahman Bin Faisal University, Dammam, Ash Sharqiyah, Saudi Arabia"
novel instruments for full endoscopic trans-kambin triangle lumbar interbody fusion with reverse oblique lateral cage insertion: a case report and technical note,2025,International Journal of Spine Surgery,degenerative spinal disease; endoscopic fusion surgery; full-endoscopic-KLIF; novel spine technique; reverse oblique lateral interbody fusion,aged; anatomical location; anterolisthesis; Article; biomechanics; bone density; bone erosion; case report; clinical article; coccygeal vertebra; computer assisted tomography; decompression; discectomy; dual energy X ray absorptiometry; endoscopic surgery; female; fluoroscopy; follow up; full endoscopic trans kambin triangle lumbar interbody fusion; general anesthesia; human; hypertrophy; incision; leg muscle; ligamentum flavum; lower limb; lumbar disk degeneration; lumbar interbody fusion; lumbar spine; muscle strength; nerve ending; nerve root; nuclear magnetic resonance imaging; oblique lateral interbody fusion; physical examination; posterior lumbar interbody fusion; postoperative period; spine surgery; spondylolisthesis; stenosis; surgical wound; treatment outcome; vertebral canal; zygapophyseal joint,"Department of Surgery, National Cheng Kung University Hospital, Tainan, Taiwan; Department of Biomedical Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Orthopaedics, Sin-Lau Christian Hospital Taiwan, Tainan, Taiwan"
"intraoperative facet joint block reduces pain after oblique lumbar interbody fusion: a double-blinded, randomized, placebo-controlled clinical trial",2025,Journal of Bone and Joint Surgery,,"anesthetic agent; bupivacaine; C reactive protein; fentanyl; lidocaine; placebo; steroid; triamcinolone; local anesthetic agent; adult; analgesia; Article; body mass; clinical outcome; controlled study; diabetes mellitus; digital radiography; double blind procedure; facet joint block; facetectomy; female; fluoroscopy; follow up; human; hypertension; leg pain; low back pain; male; middle aged; nausea and vomiting; nerve block; nuclear magnetic resonance imaging; numeric rating scale; oblique lateral interbody fusion; operation duration; osteopenia; osteoporosis; Oswestry Disability Index; outcome assessment; pain intensity; patient controlled analgesia; patient satisfaction; postoperative care; postoperative pain; postoperative period; randomized controlled trial; spondylolisthesis; visual analog scale; adverse event; aged; drug therapy; etiology; intraarticular drug administration; lumbar vertebra; pain measurement; peroperative care; prevention and control; procedures; spine fusion; surgery; treatment outcome; zygapophyseal joint; Aged; Anesthetics, Local; Bupivacaine; Double-Blind Method; Female; Humans; Injections, Intra-Articular; Intraoperative Care; Lumbar Vertebrae; Male; Middle Aged; Nerve Block; Pain Measurement; Pain, Postoperative; Spinal Fusion; Treatment Outcome; Triamcinolone; Zygapophyseal Joint","Department of Neurosurgery, Ajou University School of Medicine, Suwon, Gyeonggi-do, South Korea; Department of Neurosurgery, Yonsei University College of Medicine, Seoul, South Korea; Department of Neurosurgery, Hu Hospital, Busan, Busan, South Korea; Department of Rehabilitation Medicine, Daegu Fatima Hospital, Daegu, Daegu, South Korea; Department of Neurosurgery, Kyungpook National University Hospital (KNUH), Daegu, South Korea; McGovern Medical School, Houston, TX, United States; Department of Neurosurgery, Seoul National University College of Medicine, Seoul, South Korea; Department of Neurosurgery, Bokwang Hospital, Daegu, Daegu, South Korea"
oblique lumbar interbody fusion combined with posterior percutaneous pedicle screw internal fixation: does variability in cage position influence clinical outcomes?,2024,World Neurosurgery,Cage position; Clinical outcomes; Oblique lumbar interbody fusion; Posterior percutaneous pedicle screw internal fixation,"adult; age; Article; backache; body mass; bone density; clinical effectiveness; clinical outcome; disease duration; female; follow up; human; intervertebral disk; intervertebral disk degeneration; leg pain; lumbar spine; major clinical study; male; middle aged; oblique lateral interbody fusion; operation duration; osteosynthesis; Oswestry Disability Index; postoperative period; preoperative period; surgical approach; surgical technique; aged; decompression surgery; diagnostic imaging; lumbar vertebra; pedicle screw; procedures; retrospective study; spine fusion; surgery; treatment outcome; Adult; Aged; Decompression, Surgical; Female; Humans; Lumbar Vertebrae; Male; Middle Aged; Pedicle Screws; Retrospective Studies; Spinal Fusion; Treatment Outcome","Guangzhou Medical University, Guangzhou, Guangdong, China; Guangzhou University of Chinese Medicine, Guangzhou, Guangdong, China; Guangzhou University of Chinese Medicine, Guangzhou, Guangdong, China; Dalian University of Technology, Dalian, Liaoning, China"
"oblique lateral interbody fusion at l5-s1: feasibility, surgical approach window, incision line, and influencing factors",2024,European Spine Journal,Approach window; Incision line; L5-S1; Oblique lateral interbody fusion; Safe corridor,"adult; aged; article; clinical article; complication; computer assisted tomography; diagnosis; female; human; iliac bone; incision; male; middle aged; oblique lateral interbody fusion; skin surface; surgery; surgical approach; diagnostic imaging; feasibility study; lumbar vertebra; procedures; sacrum; spine fusion; x-ray computed tomography; Adult; Aged; Feasibility Studies; Female; Humans; Lumbar Vertebrae; Male; Middle Aged; Sacrum; Spinal Fusion; Tomography, X-Ray Computed","Department of Orthopaedic Surgery, Loma Linda University Health, Loma Linda, CA, United States; Loma Linda University School of Medicine, Loma Linda, CA, United States; Twin Cities Spine Center, Minneapolis, MN, United States; University of California, Riverside, Riverside, CA, United States; Department of Radiology, Loma Linda University Health, Loma Linda, CA, United States; Division of Orthopaedic Surgery, VA Medical Center, North Chicago, United States"
fusion rate and complications of oblique lumbar interbody fusion and transforaminal lumbar interbody fusion in the treatment of lumbar degenerative diseases: a meta-analysis,2024,Frontiers in Surgery,complication rate; fusion rate; lumbar degenerative disease; meta-analysis; OLIF; TLIF,,"Department of Orthopaedics, Qilu Hospital of Shandong University, Jinan, Shandong, China"
simultaneous single-position oblique lateral interbody fusion combined with unilateral percutaneous pedicle screw fixation for single-level lumbar tuberculosis: a 3-year retrospective comparative study,2023,Neurospine,Debridement; Oblique lateral interbody fusion; Single position; Spinal tuberculosis,C reactive protein; ethambutol plus isoniazid plus pyrazinamide plus rifampicin; hydrogen peroxide; iodophor; sodium chloride; tuberculostatic agent; adult; aged; Article; backache; bleeding; bone density; catheterization; cerebrospinal fluid; clinical evaluation; comparative study; computer assisted tomography; erythrocyte sedimentation rate; female; fluoroscopy; follow up; hospitalization; human; iliac bone; lavage; liquorrhea; lumbar tuberculosis; major clinical study; male; middle aged; oblique external abdominal muscle; oblique internal abdominal muscle; operation duration; osteoporosis; Oswestry Disability Index; percutaneous drainage; retroperitoneum; retrospective study; single-position oblique lateral interbody fusion; spine fusion; tuberculosis; tuberculous spondylitis; visual analog scale; X ray analysis,"Department of Orthopaedics, Chongqing Medical University, Chongqing, Chongqing, China"
