Title,Year,Source title,Author Keywords,Index Keywords,Affiliations
"facet-sparing trans-kambin lumbar interbody fusion versus oblique lumbar interbody fusion (anterior-to-psoas): effect on disc height, segmental lordosis, and lumbar lordosis – retrospective case series",2025,Journal of Minimally Invasive Spine Surgery and Technique,Minimally invasive surgery; Oblique lumbar interbody fusion; Oblique lumbar interbody fusion; Trans-Kambin; Trans-Kambin lumbar interbody fusion,,"Department of Spine Surgery, HCG Hospital, Ahmedabad, India"
clinical characterization of lymphatic leakage complicating olif surgery,2025,Clinical Spine Surgery,complications; lymphatic leakage; OLIF,,"Guangxi Traditional Chinese Medical University, Nanning, Guangxi, China; Guangxi Traditional Chinese Medical University, Nanning, Guangxi, China; First Affiliated Hospital of Guangxi University of Chinese Medicine, Nanning, Guangxi, China"
an in vitro biomechanical evaluation of integrated lateral plate combined with oblique lateral interbody fusion in different bone conditions,2024,Scientific Reports,Biomechanics; Fixation; Lateral plate; Osteoporosis,"animal; biomechanics; bone plate; bovine; lumbar vertebra; metabolic bone disease; osteoporosis; pedicle screw; procedures; spine fusion; surgery; Animals; Biomechanical Phenomena; Bone Diseases, Metabolic; Bone Plates; Cattle; Lumbar Vertebrae; Osteoporosis; Pedicle Screws; Spinal Fusion","Department of Orthopaedics, Zhengzhou University, Zhengzhou, Henan, China; Department of Orthopaedics, Ningxia Medical University, Yinchuan, Ningxia, China"
a comprehensive analysis of potential complications after oblique lumbar interbody fusion: a review of postoperative magnetic resonance scans in over 400 cases,2024,Journal of Korean Neurosurgical Society,Lumbar vertebrae; Magnetic resonance imaging; Oblique lumbar interbody fusion; Postoperative complications; Spinal fusion,abdominal wall; Article; clinical assessment; demographics; hematoma; human; image analysis; implantation; muscle strength; nuclear magnetic resonance imaging; oblique lateral interbody fusion; pedicle screw insertion; postoperative care; psoas muscle; radiological parameters; spondylosis,"Department of Neurosurgery, Pusan National University Yangsan Hospital, Yangsan, Gyeongsangnam-do, South Korea; Department of Neurosurgery, Medical School of Pusan National University, Yangsan, Gyeongsangnam-do, South Korea"
oblique lumbar interbody fusion combined with anterolateral screw fixation and stress endplate augmentation for treating degenerative lumbar spondylolisthesis with osteoporosis,2024,European Spine Journal,Anterolateral screw fixation; Cage subsidence; Degenerative lumbar spondylolisthesis; Oblique lumbar interbody fusion; Osteoporosis; Stress endplate augmentation,aged; anterolateral screw fixation; Article; body mass; bone density; case control study; clinical article; clinical outcome; controlled study; degenerative lumbar spondylolisthesis; female; follow up; human; intermethod comparison; leg pain; lordosis; low back pain; male; nerve ending; oblique lateral interbody fusion; osteoporosis; Oswestry Disability Index; posterior lumbar interbody fusion; retrospective study; spondylolisthesis; stress endplate augmentation; surgical technique; visual analog scale; bone screw; complication; diagnostic imaging; lumbar vertebra; middle aged; procedures; spine fusion; surgery; treatment outcome; Aged; Bone Screws; Female; Humans; Lumbar Vertebrae; Male; Middle Aged; Osteoporosis; Spinal Fusion; Spondylolisthesis; Treatment Outcome,"Department of Orthopedic Surgery and Orthopedic Research Institute, West China School of Medicine/West China Hospital of Sichuan University, Chengdu, Sichuan, China; Department of Spine Surgery, People's Hospital of Guangxi Zhuang Autonomous Region, Nanjing, Jiangsu, China"
efficacy and safety of navigation robot-assisted versus conventional oblique lateral lumbar interbody fusion with internal fixation in the treatment of lumbar degenerative diseases: a retrospective study,2024,Medicine (United States),fluoroscopy; lumbar degenerative disease; navigation robot; oblique lateral lumbar interbody fusion; percutaneous pedicle screw internal fixation,"cefazolin; nonsteroid antiinflammatory agent; adult; aged; Article; clinical article; conservative treatment; female; fluoroscopy; follow up; human; length of stay; low back pain; lumbar disk degeneration; lumbar disk hernia; lumbar spinal stenosis; male; oblique lateral interbody fusion; operative blood loss; osteosynthesis; Oswestry Disability Index; postoperative pain; postoperative period; radiation exposure; retrospective study; robot assisted surgery; spine radiography; spondylolisthesis; surgical infection; visual analog scale; adverse event; comparative study; devices; intervertebral disk degeneration; lumbar vertebra; middle aged; operation duration; pedicle screw; procedures; spine fusion; surgery; treatment outcome; Aged; Blood Loss, Surgical; Female; Fluoroscopy; Humans; Intervertebral Disc Degeneration; Lumbar Vertebrae; Male; Middle Aged; Operative Time; Pedicle Screws; Retrospective Studies; Robotic Surgical Procedures; Spinal Fusion; Treatment Outcome","Department of Spinal Surgery, Xinjiang Medical University, Urumqi, Xinjiang, China; Department of Spinal Surgery, Xinjiang Uygur Autonomous Region Hospital of Traditional Chinese Medicine, Urumqi, Xinjiang, China; Xinjiang Uygur Autonomous Region Hospital of Traditional Chinese Medicine, Urumqi, Xinjiang, China"
ureter position and risk of ureteral injury during lateral lumbar interbody fusion,2024,Journal of Orthopaedic Science,Complications; Lateral lumbar interbody fusion (LLIF); Position of the left ureter; Ureteral injury,"adult; aged; anatomical location; Article; clinical article; clinical assessment; clinical evaluation; computer assisted tomography; contrast enhancement; controlled study; female; fifth lumbar vertebra; fourth lumbar vertebra; human; intervertebral disk; intraoperative period; male; middle aged; oblique lateral interbody fusion; patient positioning; preoperative period; probability sample; risk factor; second lumbar vertebra; supine position; third lumbar vertebra; ureter injury; ureter obstruction; vertebra body; very elderly; young adult; adverse event; diagnostic imaging; etiology; injury; lumbar vertebra; peroperative complication; procedures; retrospective study; spine fusion; surgery; ureter; x-ray computed tomography; Adult; Aged; Aged, 80 and over; Female; Humans; Intraoperative Complications; Lumbar Vertebrae; Male; Middle Aged; Patient Positioning; Retrospective Studies; Spinal Fusion; Tomography, X-Ray Computed; Ureter","Department of Medicine of Sensory and Motor Organs, University of Miyazaki Faculty of Medicine, Miyazaki, Miyazaki, Japan; Division of Urology, University of Miyazaki Faculty of Medicine, Miyazaki, Miyazaki, Japan"
risk factors for low back pain after oblique lumbar interbody fusion in patients with low-grade degenerative lumbar spondylolisthesis: a retrospective study,2024,Frontiers in Surgery,low back pain; mild degenerative lumbar spondylolisthesis; OLIF; prognosis; risk factors,,"Department of Orthopaedics, Cangzhou Hospital of Integrated Traditional Chinese and Western Medicine, Cangzhou, Hebei, China; Hebei Medical University, Shijiazhuang, Hebei, China"
towards a more realistic appraisal of complications following staged lateral lumbar interbody fusion: a single institution series,2024,Global Spine Journal,complication; deformity surgery; extreme lateral interbody fusion; lateral lumbar interbody fusion; oblique lateral interbody fusion; staged,adult; anterior lumbar interbody fusion; Article; aspiration; atelectasis; bleeding; brain disease; cohort analysis; deep vein thrombosis; deformity; device malposition; dural injury; female; follow up; foreign body; hip; human; hypotension; hypoxemia; incidence; infection; injury; lateral lumbar interbody fusion; length of stay; lung embolism; major clinical study; male; middle aged; nerve injury; neuromonitoring; operation duration; operative blood loss; outcome assessment; paresthesia; pneumothorax; posterior lumbar interbody fusion; postoperative complication; rash; retrospective study; revision surgery; spine fusion; spine surgery; treatment outcome; urologic injury; weakness; wound dehiscence; wound healing; wound healing impairment,"Seattle Science Foundation, Seattle, WA, United States; Department of Trauma Surgery, Berufsgenossenschaftliches Universitätsklinikum Bergmannsheil gGmbH, Bochum, Nordrhein-Westfalen, Germany; Center for Spine Surgery and Pain Therapy, St. Anna Hospital Herne-Wanne, Herne, Nordrhein-Westfalen, Germany"
biomechanical differences between two different shapes of oblique lumbar interbody fusion cages on whether to add posterior internal fixation system: a finite element analysis,2023,Journal of Orthopaedic Surgery and Research,Biomechanical evaluation; Cage subsidence; Cage subsidence; Finite element analysis; Oblique lumbar interbody fusion,"biomechanics; diagnostic imaging; finite element analysis; lumbar vertebra; osteosynthesis; procedures; range of motion; spine fusion; surgery; Biomechanical Phenomena; Finite Element Analysis; Fracture Fixation, Internal; Lumbar Vertebrae; Pedicle Screws; Range of Motion, Articular; Spinal Fusion","Department of Spine Surgery, Tianjin University, Tianjin, China"
