Title,Year,Source title,Author Keywords,Index Keywords,Affiliations
biomechanical insights into anterolateral vertebral screw fixation in osteoporotic spines: a comparative study of fixation methods and positions using porcine vertebrae,2025,Journal of Orthopaedic Surgery and Research,Anterolateral vertebral screw fixation; Bicortical and unicortical screw fixation; Osteoporosis; Pedicle screw; Screw pullout test,animal; biomechanics; bone density; comparative study; devices; lumbar vertebra; osteoporosis; pedicle screw; pig; procedures; spine fusion; surgery; Animals; Biomechanical Phenomena; Bone Density; Lumbar Vertebrae; Osteoporosis; Pedicle Screws; Spinal Fusion; Swine,"Department of Orthopaedic Surgery, Chang Gung University College of Medicine, Taoyuan, Taiwan; Department of Biomedical Engineering, Chang Gung University, Taoyuan, Taiwan; Department of Orthopaedic Surgery, New Taipei Municipal TuCheng Hospital (Built and Operated by Chang Gung Medical Foundation), New Taipei City, Taiwan; Department of Mechanical Engineering, National Taipei University of Technology, Taipei, Taiwan; Department of Mechanical Engineering, Chang Gung University, Taoyuan, Taiwan"
simultaneous single-position oblique lumbar interbody fusion and percutaneous pedicle screw fixation under o-arm navigation for modified misdef type ii adult degenerative scoliosis: case series and surgical technique,2024,Orthopaedic Surgery,navigation; oblique lumbar interbody fusion; percutaneous pedicel screw fixation; surgical technique,"adult; aged; Article; bed rest; body position; case report; case study; cauda equina; clinical article; coronal parameter; degenerative disease; disease classification; disease severity; female; fenestration; follow up; gaze; hip pain; human; intermittent claudication; intraoperative period; Japanese Orthopedic Association score; lordosis; low back pain; lower limb; lumbar discectomy; lumbar disk hernia; lumbar spinal stenosis; lumbar spine; male; middle aged; mobilization; nuclear magnetic resonance imaging; oblique lateral interbody fusion; operation duration; operative blood loss; osteophyte; paresthesia; pilot study; postoperative period; preoperative evaluation; retrospective study; sagittal parameter; scoliosis; second lumbar vertebra; simultaneous surgery; spine; spine stabilization; spondylolisthesis; third lumbar vertebra; treatment outcome; vertebra body; vertebral canal stenosis; walking; X ray analysis; computer assisted surgery; devices; diagnostic imaging; lumbar vertebra; pedicle screw; procedures; spine fusion; surgery; Aged; Female; Humans; Lumbar Vertebrae; Male; Middle Aged; Pedicle Screws; Pilot Projects; Scoliosis; Spinal Fusion; Surgery, Computer-Assisted","Department of Spinal Surgery, Qingdao University, Qingdao, Shandong, China"
efficacy and safety of navigation robot-assisted versus conventional oblique lateral lumbar interbody fusion with internal fixation in the treatment of lumbar degenerative diseases: a retrospective study,2024,Medicine (United States),fluoroscopy; lumbar degenerative disease; navigation robot; oblique lateral lumbar interbody fusion; percutaneous pedicle screw internal fixation,"cefazolin; nonsteroid antiinflammatory agent; adult; aged; Article; clinical article; conservative treatment; female; fluoroscopy; follow up; human; length of stay; low back pain; lumbar disk degeneration; lumbar disk hernia; lumbar spinal stenosis; male; oblique lateral interbody fusion; operative blood loss; osteosynthesis; Oswestry Disability Index; postoperative pain; postoperative period; radiation exposure; retrospective study; robot assisted surgery; spine radiography; spondylolisthesis; surgical infection; visual analog scale; adverse event; comparative study; devices; intervertebral disk degeneration; lumbar vertebra; middle aged; operation duration; pedicle screw; procedures; spine fusion; surgery; treatment outcome; Aged; Blood Loss, Surgical; Female; Fluoroscopy; Humans; Intervertebral Disc Degeneration; Lumbar Vertebrae; Male; Middle Aged; Operative Time; Pedicle Screws; Retrospective Studies; Robotic Surgical Procedures; Spinal Fusion; Treatment Outcome","Department of Spinal Surgery, Xinjiang Medical University, Urumqi, Xinjiang, China; Department of Spinal Surgery, Xinjiang Uygur Autonomous Region Hospital of Traditional Chinese Medicine, Urumqi, Xinjiang, China; Xinjiang Uygur Autonomous Region Hospital of Traditional Chinese Medicine, Urumqi, Xinjiang, China"
what are the differences in clinical and surgical outcomes between lumbar spine fusion approaches?—a narrative review,2024,AME Medical Journal,Anterior lumbar interbody fusion (ALIF); lateral lumbar interbody fusion (LLIF); oblique lumbar interbody fusion (OLIF); posterior lumbar interbody fusion (PLIF); transforaminal lumbar interbody fusion (TLIF),anterior lumbar interbody fusion; artery injury; blood vessel injury; clinical outcome; deep vein thrombosis; device migration; direct lateral lumbar interbody fusion; functional status; human; infection rate; interbody subsidence; intermethod comparison; length of stay; lordosis; lumbar interbody fusion; minimally invasive surgery; nervous system injury; oblique lateral interbody fusion; operation duration; operative blood loss; pain intensity; patient-reported outcome; posterior lumbar interbody fusion; postoperative ileus; postoperative infection; quality of life; retrograde ejaculation; Review; surgical approach; surgical infection; systematic review,"F. Edward Hebert School of Medicine, Bethesda, MD, United States; University of South Carolina School of Medicine Columbia, Columbia, SC, United States; Georgetown University School of Medicine, Washington, D.C., United States"
new axially expandable oblique cage designed for anterior to psoas (atp) approach: indications-surgical technique and clinical-radiological outcomes in patients with symptomatic degenerative disc disease,2024,Journal of Clinical Medicine,anterior lumbar approaches; expandable cage; lumbar degenerative disk disease; OLIF,adult; aged; anterior to psoas approach; arthrodesis; Article; cage subsidence; cardiovascular disease; case control study; clinical article; clinical outcome; comorbidity; controlled study; coronal Cobb angle; diabetes mellitus; disc height; discectomy; female; fifth lumbar vertebra; follow up; foraminal height; fourth lumbar vertebra; hospital based case control study; human; intersegmental vessel; length of stay; low back pain; lumbar disk degeneration; lumbar lordosis angle; male; medical device complication; obesity; oblique lateral interbody fusion; observational study; operation duration; Oswestry Disability Index; peritoneum; peritoneum perforation; pi ll mismatch; postoperative complication; prospective study; psoas muscle; quality of life; radiculopathy; reoperation; respiratory tract disease; segmental coronal cobb angle; segmental lordosis; Short Form 36; spondylolisthesis; superficial surgical site infection; surgical approach; third lumbar vertebra; three dimensional printing; treatment indication; visual analog scale,"Department of Neurosurgery, Azienda Ospedaliero-Universitaria di Ferrara, Cona, FE, Italy; Neurosurgery Unit, Cardinale G. Panico Hospital, Tricase, Italy; NESMOS Department, Azienda Ospedaliero-Universitaria Sant'Andrea, Rome, RM, Italy"
additional cement augmentation reduces cage subsidence and improves clinical outcomes in oblique lumbar interbody fusion combined with anterolateral screw fixation: a retrospective cohort study,2024,Current Problems in Surgery,,adult; aged; Article; backache; body mass; clinical outcome; Cobb angle; cohort analysis; conservative treatment; decision making; discectomy; evaluation study; female; follow up; groups by age; hospitalization; human; incision; length of stay; lumbar spondylosis; major clinical study; male; middle aged; neurogenic claudication; oblique lateral interbody fusion; oblique lateral interbody fusion with cement augmentation; operation duration; operative blood loss; personal experience; postoperative period; preoperative period; retrospective study; sciatica; sex; spine instability; visual analog scale; lumbar vertebra; spine fusion; surgery; treatment outcome; bone cement; Bone Cements; Humans; Lumbar Vertebrae; Pedicle Screws; Retrospective Studies; Spinal Fusion; Treatment Outcome,"Department of Orthopaedic Surgery, Chang Gung University College of Medicine, Taoyuan, Taiwan; Department of Anesthesiology, Chang Gung University College of Medicine, Taoyuan, Taiwan; Institute of Biomedical Engineering, National Tsing Hua University, Hsinchu, Taiwan; Department of Orthopaedic Surgery, Tao-Yuan General Hospital, Taoyuan, Taiwan"
risk factors for low back pain after oblique lumbar interbody fusion in patients with low-grade degenerative lumbar spondylolisthesis: a retrospective study,2024,Frontiers in Surgery,low back pain; mild degenerative lumbar spondylolisthesis; OLIF; prognosis; risk factors,,"Department of Orthopaedics, Cangzhou Hospital of Integrated Traditional Chinese and Western Medicine, Cangzhou, Hebei, China; Hebei Medical University, Shijiazhuang, Hebei, China"
biomechanical differences between two different shapes of oblique lumbar interbody fusion cages on whether to add posterior internal fixation system: a finite element analysis,2023,Journal of Orthopaedic Surgery and Research,Biomechanical evaluation; Cage subsidence; Cage subsidence; Finite element analysis; Oblique lumbar interbody fusion,"biomechanics; diagnostic imaging; finite element analysis; lumbar vertebra; osteosynthesis; procedures; range of motion; spine fusion; surgery; Biomechanical Phenomena; Finite Element Analysis; Fracture Fixation, Internal; Lumbar Vertebrae; Pedicle Screws; Range of Motion, Articular; Spinal Fusion","Department of Spine Surgery, Tianjin University, Tianjin, China"
"clinical, radiographic and fusion comparison of oblique lumbar interbody fusion (olif) stand-alone and olif with posterior pedicle screw fixation in patients with degenerative spondylolisthesis",2023,BMC Musculoskeletal Disorders,Oblique lumbar interbody fusion; Percutaneous pedicle screw fixation; Spinal fusion; Spinal stenosis; Spondylolisthesis,"adult; anthropometric parameters; Article; clinical feature; clinical outcome; controlled study; degenerative lumbar spondylolisthesis; disc height; female; follow up; forward spondylolisthesis distance; fusion segmental lordotic angle; human; intermethod comparison; lordotic angle; major clinical study; male; medical record review; musculoskeletal system parameters; oblique lumbar interbody fusion stand alone; oblique lumbar interbody fusion with posterior pedicle screw fixation; operation duration; operative blood loss; percutaneous pedicle screw fixation; postoperative period; spine fusion; spine radiography; spine stabilization; spondylolisthesis; vertebra body; vertebral canal stenosis; diagnostic imaging; lumbar vertebra; procedures; retrospective study; treatment outcome; Blood Loss, Surgical; Humans; Lumbar Vertebrae; Pedicle Screws; Retrospective Studies; Spinal Fusion; Spondylolisthesis; Treatment Outcome","Department of Spine Surgery, Qingdao University, Qingdao, Shandong, China"
intraoperative ultrasound guidance assisted oblique lateral interbody fusion for lumbar spinal stenosis,2023,Medical Hypotheses,Intraoperative ultrasound guidance; Lumbar spinal stenosis; Oblique lateral interbody fusion,Article; clinical outcome; human; intraoperative period; lumbar spinal stenosis; muscle injury,"Department of Orthopedic Spine Surgery, Kunming Medical University, Kunming, Yunnan, China; Department of Orthopaedics, West China School of Medicine/West China Hospital of Sichuan University, Chengdu, Sichuan, China"
comparing efficacy of lumbar disc space preparation via an anterior-to-psoas approach between intraoperative conventional fluoroscopy and computed tomographic-based navigation system: a cadaveric study,2023,World Neurosurgery,Anterior-to-psoas approach; Disc space preparation; Lateral lumbar interbody fusion; Oblique lateral approach; OLIF,"article; cadaver; comparative effectiveness; computer assisted tomography; controlled study; fluoroscopy; human; lumbar disk; operation duration; surgeon; diagnostic imaging; lumbar vertebra; procedures; spine fusion; surgery; x-ray computed tomography; adenosine triphosphate; Adenosine Triphosphate; Cadaver; Fluoroscopy; Humans; Lumbar Vertebrae; Spinal Fusion; Tomography, X-Ray Computed","Department of Orthopaedics, Faculty of Medicine, Chulalongkorn University, Bangkok, Thailand; Center of Excellence in Biomechanics and Innovative Spine Surgery, Chulalongkorn University, Bangkok, Thailand; Queen Savang Vadhana Memorial Hospital, Si Racha, Chonburi, Thailand"
correcting intervertebral rotation and scoliosis simultaneously by oblique lumbar interbody fusion: a 3d analysis of eos images,2023,Frontiers in Surgery,3D analysis; adult degenerative scoliosis; EOS imaging system; intervertebral motion; oblique lateral interbody fusion,,"Department of Spine Surgery, Beijing Jishuitan Hospital, Beijing, China"
