Title,Year,Source title,Author Keywords,Index Keywords,Affiliations
biomechanical insights into anterolateral vertebral screw fixation in osteoporotic spines: a comparative study of fixation methods and positions using porcine vertebrae,2025,Journal of Orthopaedic Surgery and Research,Anterolateral vertebral screw fixation; Bicortical and unicortical screw fixation; Osteoporosis; Pedicle screw; Screw pullout test,animal; biomechanics; bone density; comparative study; devices; lumbar vertebra; osteoporosis; pedicle screw; pig; procedures; spine fusion; surgery; Animals; Biomechanical Phenomena; Bone Density; Lumbar Vertebrae; Osteoporosis; Pedicle Screws; Spinal Fusion; Swine,"Department of Orthopaedic Surgery, Chang Gung University College of Medicine, Taoyuan, Taiwan; Department of Biomedical Engineering, Chang Gung University, Taoyuan, Taiwan; Department of Orthopaedic Surgery, New Taipei Municipal TuCheng Hospital (Built and Operated by Chang Gung Medical Foundation), New Taipei City, Taiwan; Department of Mechanical Engineering, National Taipei University of Technology, Taipei, Taiwan; Department of Mechanical Engineering, Chang Gung University, Taoyuan, Taiwan"
restoration of segmental lordosis and lumbar lordosis after oblique lumbar interbody fusion,2025,Indian Spine Journal,Lumbar lordosis; oblique lumbar interbody fusion; segmental lordosis,,"Department of Spine Surgery, HCG Hospital, Ahmedabad, India"
which subtypes of degenerative lumbar spondylolisthesis are suitable for oblique lumbar interbody fusion? a retrospective study in china based on the clinical and radiographic degenerative spondylolisthesis classification,2025,Asian Spine Journal,Clinical and radiographic degenerative spondylolisthesis classification; Contraindications; Lumbar spine; Oblique lumbar interbody fusion; Spondylolisthesis,,"Department of Orthopaedics, Fudan University, Shanghai, China; Department of Orthopaedics, Fudan University, Shanghai, China"
minimally invasive strategy for uniportal full-endoscopic transforaminal lumbar interbody fusion using a large cage utilized in oblique lumbar interbody fusion,2025,Journal of Minimally Invasive Spine Surgery and Technique,Endoscopy; Oblique; Transforaminal lumbar interbody fu-sion; Uniportal full-endoscopic surgery,,"Department of Neurosurgery, Wooridul Spine Hospital, Kangham-Gu, Seoul, South Korea; Department of Neurosurgery, Wooridul Spine Hospital, Kangham-Gu, Seoul, South Korea; Department of Anesthesiology and Pain Medicine, Wooridul Spine Hospital, Kangham-Gu, Seoul, South Korea"
learning curve and complication analysis of oblique lateral interbody fusion in cases with single-segment lumbar tuberculosis: a retrospective single-center consecutive study,2024,BMC Musculoskeletal Disorders,Learning curve; OLIF; Postoperative complication; Spinal tuberculosis,"C reactive protein; ethambutol; polyetheretherketone; pyrazinamide; rifampicin; adult; arthrodesis; Article; bleeding; body mass; bone transplantation; Cobb angle; cohort analysis; computer assisted tomography; debridement; degenerative disease; erythrocyte sedimentation rate; female; fluoroscopy; fracture nonunion; granulation tissue; hospitalization; human; iliac vein; incidence; intracranial aneurysm; laparoscopy; learning curve; low back pain; lumbar tuberculosis; lymphocyte count; major clinical study; male; middle aged; minimally invasive surgery; Mycobacterium tuberculosis; nuclear magnetic resonance imaging; oblique lateral interbody fusion; operation duration; operative blood loss; osteosynthesis; Oswestry Disability Index; percutaneous pedicle screw fixation; peroperative complication; physical tolerance; postoperative complication; psoas muscle; retrospective study; spinal cord injury; spine fusion; spine surgery; surgical infection; tuberculosis; tuberculous spondylitis; visual acuity; wound healing; wound infection; X ray; adverse event; aged; diagnostic imaging; epidemiology; etiology; lumbar vertebra; pedicle screw; procedures; surgery; treatment outcome; Adult; Aged; Blood Loss, Surgical; Female; Humans; Learning Curve; Lumbar Vertebrae; Male; Middle Aged; Operative Time; Pedicle Screws; Postoperative Complications; Retrospective Studies; Spinal Fusion; Treatment Outcome; Tuberculosis, Spinal","Department of Orthopaedics, The First Affiliated Hospital of Chongqing Medical University, Chongqing, China; Chongqing Medical University, Chongqing, Chongqing, China; Department of Orthopaedic Surgery, Chongqing Medical University, Chongqing, Chongqing, China"
oblique lumbar interbody fusion combined with anterolateral screw fixation and stress endplate augmentation for treating degenerative lumbar spondylolisthesis with osteoporosis,2024,European Spine Journal,Anterolateral screw fixation; Cage subsidence; Degenerative lumbar spondylolisthesis; Oblique lumbar interbody fusion; Osteoporosis; Stress endplate augmentation,aged; anterolateral screw fixation; Article; body mass; bone density; case control study; clinical article; clinical outcome; controlled study; degenerative lumbar spondylolisthesis; female; follow up; human; intermethod comparison; leg pain; lordosis; low back pain; male; nerve ending; oblique lateral interbody fusion; osteoporosis; Oswestry Disability Index; posterior lumbar interbody fusion; retrospective study; spondylolisthesis; stress endplate augmentation; surgical technique; visual analog scale; bone screw; complication; diagnostic imaging; lumbar vertebra; middle aged; procedures; spine fusion; surgery; treatment outcome; Aged; Bone Screws; Female; Humans; Lumbar Vertebrae; Male; Middle Aged; Osteoporosis; Spinal Fusion; Spondylolisthesis; Treatment Outcome,"Department of Orthopedic Surgery and Orthopedic Research Institute, West China School of Medicine/West China Hospital of Sichuan University, Chengdu, Sichuan, China; Department of Spine Surgery, People's Hospital of Guangxi Zhuang Autonomous Region, Nanjing, Jiangsu, China"
efficacy and safety of navigation robot-assisted versus conventional oblique lateral lumbar interbody fusion with internal fixation in the treatment of lumbar degenerative diseases: a retrospective study,2024,Medicine (United States),fluoroscopy; lumbar degenerative disease; navigation robot; oblique lateral lumbar interbody fusion; percutaneous pedicle screw internal fixation,"cefazolin; nonsteroid antiinflammatory agent; adult; aged; Article; clinical article; conservative treatment; female; fluoroscopy; follow up; human; length of stay; low back pain; lumbar disk degeneration; lumbar disk hernia; lumbar spinal stenosis; male; oblique lateral interbody fusion; operative blood loss; osteosynthesis; Oswestry Disability Index; postoperative pain; postoperative period; radiation exposure; retrospective study; robot assisted surgery; spine radiography; spondylolisthesis; surgical infection; visual analog scale; adverse event; comparative study; devices; intervertebral disk degeneration; lumbar vertebra; middle aged; operation duration; pedicle screw; procedures; spine fusion; surgery; treatment outcome; Aged; Blood Loss, Surgical; Female; Fluoroscopy; Humans; Intervertebral Disc Degeneration; Lumbar Vertebrae; Male; Middle Aged; Operative Time; Pedicle Screws; Retrospective Studies; Robotic Surgical Procedures; Spinal Fusion; Treatment Outcome","Department of Spinal Surgery, Xinjiang Medical University, Urumqi, Xinjiang, China; Department of Spinal Surgery, Xinjiang Uygur Autonomous Region Hospital of Traditional Chinese Medicine, Urumqi, Xinjiang, China; Xinjiang Uygur Autonomous Region Hospital of Traditional Chinese Medicine, Urumqi, Xinjiang, China"
new axially expandable oblique cage designed for anterior to psoas (atp) approach: indications-surgical technique and clinical-radiological outcomes in patients with symptomatic degenerative disc disease,2024,Journal of Clinical Medicine,anterior lumbar approaches; expandable cage; lumbar degenerative disk disease; OLIF,adult; aged; anterior to psoas approach; arthrodesis; Article; cage subsidence; cardiovascular disease; case control study; clinical article; clinical outcome; comorbidity; controlled study; coronal Cobb angle; diabetes mellitus; disc height; discectomy; female; fifth lumbar vertebra; follow up; foraminal height; fourth lumbar vertebra; hospital based case control study; human; intersegmental vessel; length of stay; low back pain; lumbar disk degeneration; lumbar lordosis angle; male; medical device complication; obesity; oblique lateral interbody fusion; observational study; operation duration; Oswestry Disability Index; peritoneum; peritoneum perforation; pi ll mismatch; postoperative complication; prospective study; psoas muscle; quality of life; radiculopathy; reoperation; respiratory tract disease; segmental coronal cobb angle; segmental lordosis; Short Form 36; spondylolisthesis; superficial surgical site infection; surgical approach; third lumbar vertebra; three dimensional printing; treatment indication; visual analog scale,"Department of Neurosurgery, Azienda Ospedaliero-Universitaria di Ferrara, Cona, FE, Italy; Neurosurgery Unit, Cardinale G. Panico Hospital, Tricase, Italy; NESMOS Department, Azienda Ospedaliero-Universitaria Sant'Andrea, Rome, RM, Italy"
risk factors for low back pain after oblique lumbar interbody fusion in patients with low-grade degenerative lumbar spondylolisthesis: a retrospective study,2024,Frontiers in Surgery,low back pain; mild degenerative lumbar spondylolisthesis; OLIF; prognosis; risk factors,,"Department of Orthopaedics, Cangzhou Hospital of Integrated Traditional Chinese and Western Medicine, Cangzhou, Hebei, China; Hebei Medical University, Shijiazhuang, Hebei, China"
"a comparative study of perioperative pain, blood loss, and hospital stay in an indian population undergoing mini-open oblique lumbar interbody fusion versus open transforaminal lumbar interbody fusion",2024,International Journal of Critical Illness and Injury Science,Blood loss; disc degenerations; hospital stay; lumbar; postsurgical pain; surgical; vertebrae,,"Department of Anesthesia and Critical Care, All India Institute of Medical Sciences, Bhubaneswar, Bhubaneswar, OR, India; Department of Orthopaedics, All India Institute of Medical Sciences, Bhubaneswar, Bhubaneswar, OR, India"
