Title,Year,Source title,Author Keywords,Index Keywords,Affiliations
is lumbar spondylolisthesis a risk factor of cage subsidence after oblique lumbar interbody fusion combined with anterolateral screw fixation?,2025,Journal of Orthopaedic Surgery and Research,,article; cage; human; oblique lateral interbody fusion; risk factor; spondylolisthesis; surgery,"Department of Orthopedic Surgery and Orthopedic Research Institute, West China School of Medicine/West China Hospital of Sichuan University, Chengdu, Sichuan, China"
differences in radiographic and clinical outcomes of different oblique lumbar interbody fusions for lumbar degenerative diseases: a systematic review and bayesian network meta-analysis,2025,Neurosurgical Review,Anterolateral screw fixation; Bayesian network meta-analysis; Lumbar degenerative diseases; Oblique lumbar interbody fusion; Percutaneous pedicle screw fixation,anterolateral screw fixation; Bayesian network; clinical outcome; degenerative disease; dispersity; follow up; hospitalization; human; intraoperative monitoring; length of stay; low back pain; lumbar disk degeneration; meta analysis; minimally invasive spine surgery; network meta-analysis; oblique lateral interbody fusion; operative blood loss; percutaneous pedicle screw fixation; physical examination; quality control; radiographic parameter; Review; surgical technique; systematic review; visual analog scale; Bayes theorem; diagnostic imaging; intervertebral disk degeneration; lumbar vertebra; network meta analysis (topic); pedicle screw; procedures; spine fusion; surgery; treatment outcome; Bayes Theorem; Humans; Intervertebral Disc Degeneration; Lumbar Vertebrae; Network Meta-Analysis as Topic; Pedicle Screws; Spinal Fusion; Treatment Outcome,"Nanjing University of Chinese Medicine, Nanjing, Jiangsu, China"
comparative outcomes of ulif versus olif-lp for lumbar spondylolisthesis: an early efficacy study,2025,Journal of Orthopaedic Surgery and Research,Clinical efficacy; DLS; Lateral plate; OLIF; Pedicle screw; ULIF,adult; adverse event; aged; comparative study; diagnostic imaging; endoscopy; epidemiology; female; human; lumbar vertebra; male; middle aged; postoperative complication; procedures; retrospective study; spine fusion; spondylolisthesis; surgery; treatment outcome; Adult; Aged; Endoscopy; Female; Humans; Lumbar Vertebrae; Male; Middle Aged; Postoperative Complications; Retrospective Studies; Spinal Fusion; Spondylolisthesis; Treatment Outcome,"Department of Surgery, Huzhou University, Huzhou, Zhejiang, China; Huzhou Key Laboratory of Precise Diagnosis and Treatment of Urinary Tumors, Huzhou, Zhejiang, China; Department of Orthopaedics, Huzhou University, Huzhou, Zhejiang, China"
biomechanical effects of oblique lumbar interbody fusion on adjacent segment degeneration after surgery in patients with osteoporosis: a finite element study,2025,World Neurosurgery,Adjacent segment degeneration; Finite element; Oblique lateral interbody fusion; Osteoporosis,"adjacent segment disease; adult; annulus fibrosus; anterior longitudinal ligament; Article; axial loading; biomechanics; bone stress; capsular ligament; case report; clinical article; computer assisted tomography; computer model; controlled study; cortical bone; fifth lumbar vertebra; first lumbar vertebra; fourth lumbar vertebra; human; interspinous ligament; ligamentum flavum; lumbar disk; male; nerve ending; nucleus pulposus; oblique lateral interbody fusion; osteoporosis; osteosynthesis; posterior longitudinal ligament; postoperative complication; pressure and tension; range of motion; sacral vertebra; second lumbar vertebra; shear stress; supraspinous ligament; third lumbar vertebra; three dimensional finite element analysis; trabecular bone; transverse ligament; validation process; Young modulus; adverse event; complication; diagnostic imaging; etiology; female; finite element analysis; intervertebral disk degeneration; lumbar vertebra; middle aged; pathophysiology; physiology; procedures; spine fusion; surgery; Biomechanical Phenomena; Female; Finite Element Analysis; Humans; Intervertebral Disc Degeneration; Lumbar Vertebrae; Male; Middle Aged; Osteoporosis; Postoperative Complications; Range of Motion, Articular; Spinal Fusion","Department of Spinal Surgery, Hebei Medical University, Shijiazhuang, Hebei, China"
mri-based vertebral and endplate bone quality scores for assessing patient suitability in oblique lumbar interbody fusion with anterolateral screw fixation,2025,Journal of Orthopaedic Surgery and Research,Cage subsidence; Endplate bone quality; Lumbar degenerative disease; Oblique lumbar interbody fusion with anterolateral screw fixation; Vertebral bone quality,aged; bone density; bone screw; devices; diagnostic imaging; female; human; lumbar vertebra; male; middle aged; nuclear magnetic resonance imaging; patient selection; procedures; retrospective study; spine fusion; surgery; Aged; Bone Density; Bone Screws; Female; Humans; Lumbar Vertebrae; Magnetic Resonance Imaging; Male; Middle Aged; Patient Selection; Retrospective Studies; Spinal Fusion,"Guangxi Traditional Chinese Medical University, Nanning, Guangxi, China; Department of Spine Surgery, People's Hospital of Guangxi Zhuang Autonomous Region, Nanjing, Jiangsu, China; Department of Spine Surgery, Beijing Jishuitan Hospital, Beijing, China"
"influence of modic changes on lateral vs. central fusion features in stand-alone oblique lumbar interbody fusion: a retrospective analysis of outcomes, imaging, and histology",2025,World Neurosurgery,BMP-2; Central fusion; Lateral fusion; Modic changes; SA-OLIF,alkaline phosphatase; beta actin; bone morphogenetic protein 2; collagen; collagen type I alpha 1 chain; glycosaminoglycan; messenger RNA; osteocalcin; osteoclast differentiation factor; osteoprotegerin; transcription factor RUNX2; transforming growth factor beta; adult; aged; annulus fibrosus; Article; backache; birefringence; bleeding; bone density; bone development; bone graft; bone matrix; claudication; clinical outcome; clinical significance; conservative treatment; controlled study; dual energy X ray absorptiometry; electrocoagulation; epiphysis; female; fluoroscopy; follow up; gene expression level; general anesthesia; histology; human; hyperostosis; immunohistochemistry; intermittent claudication; intervertebral disk; intervertebral joint; lordosis; low back pain; lumbar disk hernia; lumbar interbody fusion; lumbar spine; major clinical study; male; mineralization; nerve ending; nuclear magnetic resonance imaging; oblique lateral interbody fusion; operation duration; osteoblast; osteophyte; Oswestry Disability Index; outcome assessment; patient-reported outcome; postoperative care; preoperative evaluation; preoperative period; psoas major muscle; real time polymerase chain reaction; retrospective study; reverse transcription; RNA analysis; scoliosis; spondylolisthesis; subcutaneous tissue; surgical fixation; surgical injury; surgical technique; vertebra body; vertebral canal stenosis; visual analog scale; X ray; x-ray computed tomography; diagnostic imaging; intervertebral disk degeneration; lumbar vertebra; middle aged; pathology; procedures; spine fusion; surgery; treatment outcome; Adult; Aged; Female; Humans; Intervertebral Disc Degeneration; Lumbar Vertebrae; Male; Middle Aged; Retrospective Studies; Spinal Fusion; Treatment Outcome,"Department of Orthopaedics, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China; Department of Orthopaedics, Zhejiang Hospital, Hangzhou, Zhejiang, China"
outcomes comparison between oblique lumbar interbody fusion and minimally invasive transforaminal lumbar interbody fusion in low-grade spondylolisthesis: a randomized clinical trial,2025,International Journal of Spine Surgery,indirect decompression; lumbar interbody fusion; MIS-TLIF; OLIF; spondylolisthesis,adult; Article; backache; clinical outcome; comparative study; controlled study; European Quality of Life 5 Dimensions 5 Level questionnaire; female; follow up; height; human; leg pain; lumbar disk; major clinical study; male; minimally invasive surgery; oblique lateral interbody fusion; Oswestry Disability Index; patient-reported outcome; perioperative period; peroperative complication; posterior lumbar interbody fusion; postoperative complication; postoperative period; radiological parameters; randomized controlled trial; spine fusion; spondylolisthesis; transverse plane; vertebral canal; visual analog scale,"Department of Orthopaedics, Faculty of Medicine, Chulalongkorn University, Bangkok, Thailand; Center of Excellence in Biomechanics and Innovative Spine Surgery, Chulalongkorn University, Bangkok, Thailand; Department of Orthopaedics, Samut Sakhon Hospital, Samut Sakhon, Samut Sakhon, Thailand; Biostatistics Excellence Centre, Faculty of Medicine, Chulalongkorn University, Bangkok, Thailand"
understanding the influence of cage and instrumentation strategies with oblique lumbar interbody fusion for grade i spondylolisthesis – a comprehensive biomechanical modeling study,2025,Spine Journal,"Cage subsidence; Finite element modelling, Indirect decompression; Lumbar spine surgery, Minimally invasive, Biomechanical study, Oblique lumbar interbody fusion (OLIF)",anatomical concepts; annulus fibrosus; Article; biomechanics; comparative study; controlled study; decompression surgery; finite element analysis; human; ligamentum flavum; lordosis; male; minimally invasive surgery; oblique lateral interbody fusion; posterior longitudinal ligament; posterior lumbar interbody fusion; practice guideline; spondylolisthesis; surgical approach; trabecular bone; devices; internal fixator; lumbar vertebra; procedures; spine fusion; surgery; Biomechanical Phenomena; Finite Element Analysis; Humans; Internal Fixators; Lumbar Vertebrae; Spinal Fusion; Spondylolisthesis,"Institute of Biomedical Engineering, Polytechnique Montréal, Montreal, QC, Canada; CHU Sainte-Justine - Le Centre Hospitalier Universitaire Mère-Enfant, Montreal, QC, Canada; Department of Surgery, Université d'Ottawa, Faculté de Médecine, Ottawa, ON, Canada; Laboratoire de Biomécanique Appliquée, Marseille, Provence-Alpes-Cote d'Azur, France; Centre Hospitalier de L'Université de Montréal, Montreal, QC, Canada; Department of Surgery, Université de Montréal, Faculté de Médecine, Montreal, QC, Canada; Polytechnique Montréal, Montreal, QC, Canada; Medtronic Spinal and Biologics, Memphis, TN, United States"
the feasibility of prepsoas oblique lumbar interbody fusion at l5/s1 level—a radiographic and clinical research,2025,World Neurosurgery,ALIF; L5-S1 level; Lumbar lordosis; OLIF; Right-sided prepsoas approach,adult; artery ligation; Article; clinical classification; clinical outcome; clinical research; comparative study; conceptual framework; controlled study; demographics; female; fifth lumbar vertebra; follow up; hospital patient; human; iliac vein; iliolumbar artery; incidence; lordosis; major clinical study; male; oblique lateral interbody fusion; outpatient; perivascular adipose tissue; preoperative care; prepsoas oblique lumbar interbody fusion; psoas muscle; radiography; surgical approach; surgical technique; aged; diagnostic imaging; epidemiology; feasibility study; lumbar vertebra; middle aged; postoperative complication; procedures; randomized controlled trial; sacrum; spine fusion; surgery; treatment outcome; Adult; Aged; Feasibility Studies; Female; Humans; Lumbar Vertebrae; Male; Middle Aged; Postoperative Complications; Psoas Muscles; Sacrum; Spinal Fusion; Treatment Outcome,"Department of Orthopaedics, Tongji Medical College of Huazhong University of Science and Technology, Wuhan, Hubei, China"
comparison of biportal endoscopic transforaminal lumbar interbody fusion (be-tlif) and oblique lateral interbody fusion (olif) for treatment of degenerative lumbar disease: a multicenter retrospective cohort study,2025,World Neurosurgery,Biportal; Endoscopy; Minimally invasive; Oblique lateral interbody fusion; Surgical procedures; Transforaminal lumbar interbody fusion,"creatine kinase; adult; Article; cage sedimentation; cohort analysis; comparative study; computer assisted tomography; controlled study; creatine kinase blood level; dural tear; endplate injury; epidural hematoma; female; fluoroscopy; height; human; intermittent claudication; left sympathetic chain injury; leg pain; length of stay; low back pain; lumbar disk degeneration; lumbar disk hernia; lumbar lordosis angle; lumbar spinal stenosis; major clinical study; male; meralgia paresthetica; middle aged; muscle weakness; neurological injury; nuclear magnetic resonance imaging; oblique lateral interbody fusion; operation duration; operative blood loss; Oswestry Disability Index; paracentesis; patient-reported outcome; posterior lumbar interbody fusion; postoperative complication; psoas muscle; retrospective study; spine fracture; spondylolisthesis; surgical infection; vertebral canal stenosis; visual analog scale; aged; clinical trial; diagnostic imaging; endoscopy; epidemiology; intervertebral disk degeneration; lumbar vertebra; multicenter study; neuroendoscopy; procedures; spine fusion; surgery; treatment outcome; Aged; Blood Loss, Surgical; Cohort Studies; Endoscopy; Female; Humans; Intervertebral Disc Degeneration; Length of Stay; Lumbar Vertebrae; Male; Middle Aged; Neuroendoscopy; Operative Time; Postoperative Complications; Retrospective Studies; Spinal Fusion; Treatment Outcome","Department of Orthopaedic Surgery, Lishui Central Hospital, Lishui, Zhejiang, China; Department of Orthopaedic Surgery, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China; Department of Neurosurgery, King's College Hospital, London, United Kingdom; Department of Neurosurgery, National Neuroscience Institute of Singapore, Singapore City, Singapore; Department of Basic and Clinical Neuroscience, King's College London, London, United Kingdom"
