Title,Year,Source title,Author Keywords,Index Keywords,Affiliations
a staged-olif approach can minimize construct lengths in adult spinal deformity- a case series and literature review,2025,BioMedicine (Taiwan),Adult spinal deformity; Length of construct; Minimally invasive; OLIF; Staged approach,floseal; hemostatic agent; adult; adult spinal deformity; aged; anterolisthesis; Article; backache; C7-CSVL; case report; clinical article; clinical outcome; female; follow up; human; hyperlipidemia; hypothyroidism; lordosis; low back pain; male; middle aged; minimally invasive surgery; nerve block; neurogenic claudication; nuclear magnetic resonance imaging; oblique lateral interbody fusion; osteoporosis; Ponte osteotomy; postoperative pain; robot assisted surgery; sagittal spinopelvic parameter; scoliosis; spine malformation; spine radiography; surgical approach; surgical technique; vertebral canal stenosis; visual analog scale; x-ray computed tomography,"Department of Orthopaedics, Tan Tock Seng Hospital, Singapore City, Singapore; NUS Yong Loo Lin School of Medicine, Singapore City, Singapore; Department of Orthopaedics, Tan Tock Seng Hospital, Singapore City, Singapore"
does indirect decompression by oblique lateral interbody fusion produce similar clinical and radiological outcomes to direct decompression by open transforaminal lumbar interbody fusion,2024,Journal of Neurosciences in Rural Practice,Fusion; Lumbar degenerative disease; Transforaminal lumbar,adult; aged; Article; clinical outcome; controlled study; cross-sectional study; decompression; degenerative disease; discectomy; female; fluoroscopy; follow up; human; laminectomy; low back pain; lower limb; lumbar interbody fusion; major clinical study; male; middle aged; oblique lateral interbody fusion; Oswestry Disability Index; posterior lumbar interbody fusion; prone position; psoas muscle; radiological parameters; retroperitoneum; skin incision; surgical technique; visual analog scale,"Department of Orthopaedics, All India Institute of Medical Sciences, Bhubaneswar, Bhubaneswar, OR, India; Department of Radiodiagnosis, All India Institute of Medical Sciences, Bhubaneswar, Bhubaneswar, OR, India; Department of Surgery, All India Institute of Medical Sciences, Bhubaneswar, Bhubaneswar, OR, India; Department of Pharmacology, All India Institute of Medical Sciences, Bhubaneswar, Bhubaneswar, OR, India"
oblique lateral internal fusion combined with percutaneous pedicle screw fixation in severe lumbar spinal stenosis: clinical and radiographic outcome,2023,Journal of Orthopaedic Surgery and Research,Indirect compression; OLIF; Severe lumbar stenosis,"diagnostic imaging; human; lumbar vertebra; procedures; retrospective study; spine fusion; stenosis, occlusion and obstruction; treatment outcome; vertebral canal stenosis; Constriction, Pathologic; Humans; Lumbar Vertebrae; Pedicle Screws; Retrospective Studies; Spinal Fusion; Spinal Stenosis; Treatment Outcome","Department of Spine Surgery, Wannan Medical College, Wuhu, Anhui, China; Wannan Medical College, Wuhu, Anhui, China; Wannan Medical College, Wuhu, Anhui, China"
effect of the preoperative assessment of the anteroposterior diameters of the spinal canal and dural area on the efficacy of oblique lumbar interbody fusion in patients with lumbar spinal stenosis,2023,Journal of Orthopaedic Surgery and Research,Anteroposterior diameter; Dural area; Lumbar spinal stenosis; OLIF; Postoperative effect; Preoperative assessment,diagnostic imaging; human; lumbar vertebra; retrospective study; spine fusion; treatment outcome; vertebral canal; vertebral canal stenosis; Humans; Lumbar Vertebrae; Retrospective Studies; Spinal Canal; Spinal Fusion; Spinal Stenosis; Treatment Outcome,"Hebei Medical University, Shijiazhuang, Hebei, China"
subsidence of interbody cage following oblique lateral interbody fusion: an analysis and potential risk factors,2023,Global Spine Journal,interbody cage; lumbar degenerative disease; oblique lateral interbody fusion; polyetheretherketone cage subsidence; risk factors,corticosteroid; polyetheretherketone; adult; algorithm; Article; body mass; bone density; cohort analysis; computer assisted tomography; degenerative disease; dual energy X ray absorptiometry; female; human; incidence; leg pain; logistic regression analysis; lordosis; low back pain; male; middle aged; nuclear magnetic resonance imaging; Oswestry Disability Index; pelvic incidence; pelvic tilt; posterior lumbar interbody fusion; retrospective study; risk factor; sacral slope; sagittal vertical axis; scoliosis; smoking; spondylolisthesis; visual analog scale,"Department of Orthopaedics, Queen Savang Vadhana Memorial Hospital, Si Racha, Chonburi, Thailand; Department of Orthopaedics, The First Affiliated Hospital of Xiamen University, Xiamen, Fujian, China; Department of Orthopaedics, Naresuan University, Pitsanulok, Thailand; Department of Orthopaedics, Faculty of Medicine, Chulalongkorn University, Bangkok, Thailand; Center of Excellence in Biomechanics and Innovative Spine Surgery, Chulalongkorn University, Bangkok, Thailand; Department of Neurosurgery, The Catholic University of Korea Seoul St. Mary's Hospital, Seoul, South Korea"
comparison of oblique lateral lumbar interbody fusion and transforaminal lumbar interbody fusion in the treatment of degenerative lumbar diseases: a protocol for systematic review and meta-analysis,2022,Medicine (United States),degenerative lumbar diseases; meta-analysis; OLIF; TLIF,Article; clinical outcome; Cochrane Library; comparative effectiveness; comparative study; data base; degenerative disease; degenerative lumbar disease; Embase; human; lumbar spine; Medline; meta analysis; oblique lateral lumbar interbody fusion; posterior lumbar interbody fusion; posterior spine fusion; Preferred Reporting Items for Systematic Reviews and Meta-Analyses; randomized controlled trial (topic); study design; systematic review; WanFang Database; Web of Science; aged; intervertebral disk degeneration; lumbar vertebra; meta analysis (topic); procedures; spine fusion; treatment outcome; Aged; Humans; Intervertebral Disc Degeneration; Lumbar Vertebrae; Meta-Analysis as Topic; Spinal Fusion; Systematic Reviews as Topic; Treatment Outcome,"Division of Spinal Surgery, The First Affiliated Hospital of Guangxi Medical University, Nanning, Guangxi, China"
small preoperative dural sac cross-sectional area and anteriorly placed fusion cages are risk factors for indirect decompression failure after oblique lateral interbody fusion,2022,World Neurosurgery,Cage; Dural sac; Fusion; Indirect decompression; Lumbar; OLIF; Reoperation,"aged; Article; body mass; clinical evaluation; clinical outcome; comparative study; controlled study; cross-sectional study; female; human; ligamentum flavum; lumbar spinal stenosis; major clinical study; male; nuclear magnetic resonance imaging; postoperative period; preoperative period; retrospective study; risk factor; spinal cord decompression; spine radiography; decompression surgery; diagnostic imaging; lumbar vertebra; procedures; spine fusion; treatment outcome; vertebral canal stenosis; Decompression, Surgical; Humans; Lumbar Vertebrae; Retrospective Studies; Risk Factors; Spinal Fusion; Spinal Stenosis; Treatment Outcome","Department of Orthopaedics and Traumatology, The University of Hong Kong, Hong Kong, Hong Kong; Department of Orthopaedics, Sir Run Run Shaw Hospital, Hangzhou, Zhejiang, China"
substantially high hidden blood loss in oblique lateral interbody fusion: retrospective case series,2022,Medicina (Lithuania),hidden blood loss; minimally invasive spine surgery; oblique lateral interbody fusion,"anticoagulant agent; adverse event; aged; female; human; lumbar vertebra; male; operative blood loss; procedures; retrospective study; spine fusion; surgery; Aged; Anticoagulants; Blood Loss, Surgical; Female; Humans; Lumbar Vertebrae; Male; Retrospective Studies; Spinal Fusion","Department of Orthopaedic Surgery, Japanese Red Cross Fukui Hospital, Fukui, Fukui, Japan; Department of Orthopaedic Surgery, Tazuke Kofukai, Medical Research Institute, Kitano Hospital, Osaka, Osaka, Japan"
do obliquity and position of the oblique lumbar interbody fusion cage influence the degree of indirect decompression of foraminal stenosis?,2022,Journal of Korean Neurosurgical Society,"Decompression, surgical; Lumbosacral region; Magnetic resonance imaging; Spinal fusion; Tomography, X-ray computed",aged; Article; body mass; bone graft; computer assisted tomography; decompression; discectomy; female; follow up; human; human experiment; leg pain; lordosis; lumbar spine; lumbosacral region; male; measurement accuracy; nuclear magnetic resonance imaging; numeric rating scale; Oswestry Disability Index; prospective study; range of motion; retrospective study; scoliosis; spine fusion; spine surgery; spondylolisthesis; stenosis; vertebra body; vertebral canal; vertebral canal stenosis,"Department of Orthopaedics, Naresuan University, Pitsanulok, Thailand; Department of Orthopaedics, Queen Savang Vadhana Memorial Hospital, Chonburi, Chon Buri, Thailand; Department of Orthopaedics, The First Affiliated Hospital of Xiamen University, Xiamen, Fujian, China; Department of Neurosurgery, The Catholic University of Korea Eunpyeong St. Mary’s Hospital, Seoul, South Korea; Department of Neurosurgery, The Catholic University of Korea Seoul St. Mary's Hospital, Seoul, South Korea; Department of Orthopaedics, Burapha University, Chonburi, Thailand"
salvage oblique lateral interbody fusion for pseudarthrosis after posterior/transforaminal lumbar interbody fusion: a technical note,2021,World Neurosurgery,Nonunion; Oblique lumbar interbody fusion; OLIF; Pseudarthrosis; Salvage,"adult; aged; Article; bone graft; bone strength; case report; chronic kidney failure; clinical article; computer assisted tomography; conservative treatment; controlled study; curettage; diabetes mellitus; follow up; fracture healing; human; leg pain; low back pain; lumbar disk hernia; lumbar spinal stenosis; male; middle aged; nuclear magnetic resonance imaging; operation duration; operative blood loss; posterior lumbar interbody fusion; postoperative complication; pseudarthrosis; psoas muscle; retrospective study; rheumatoid arthritis; salvage oblique lateral interbody fusion; scar tissue; screw loosening; spine fusion; surgical technique; x-ray computed tomography; adverse event; female; lumbar vertebra; procedures; salvage therapy; very elderly; Aged; Aged, 80 and over; Female; Humans; Lumbar Vertebrae; Male; Middle Aged; Postoperative Complications; Pseudarthrosis; Salvage Therapy; Spinal Fusion","Department of Orthopaedic Surgery, Graduate School of Medicine, Kyoto, Kyoto, Japan; Department of Orthopaedic Surgery, Hyogo Prefectural Amagasaki General Medical Center, Amagasaki, Hyogo, Japan; Department of Orthopaedic Surgery, Shiga General Hospital, Moriyama, Shiga, Japan"
